Roaster,Name,Review,Roaster_link,Origin,Roast,dollars_per_ounce,Review_date
JBC Coffee Roasters,Karatina Kenya,"Richly aromatic, deeply complex. Tamarind, narcissus, black currant, ripe tomato, cocoa nib in aroma and cup. Sweet-savory structure with juicy-tart acidity; very full, syrupy-smooth mouthfeel. Savory-leaning finish driven by notes of ripe tomato and cocoa nib with undertones of black currant and cedar.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Nyeri growing region, south-central Kenya",Medium-Light,1.83,April 2021
JBC Coffee Roasters,Cerro Azul Geisha,"Elegantly fruit-forward, richly floral-toned. Star jasmine, lychee, frankincense, Meyer lemon zest, wild honey in aroma and cup. Bright, lyrical structure with zesty acidity; creamy, full mouthfeel. Long, rich, resonant finish redolent of jasmine and lychee.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Trujillo, Valle del Cauca Department, Colombia",Light,3.5,April 2021
Kona Farm Direct,Kona SL34 Sweet Spot,"Juicy, bright, tropical. Pineapple, myrrh, coconut, freesia-like flowers, almond brittle in aroma and cup. Sweet-tart structure with juicy, lively acidity; plush, syrupy mouthfeel. The finish leads with notes of pineapple and freesia, rounding to almond and coconut in the long.",,"Kona growing region, Big Island of Hawai’i",Medium-Light,7.14,April 2021
JBC Coffee Roasters,Haraaz Red,"Deeply spice-toned, singular and complex. Dried red currant, sandalwood, fresh cinnamon, dark chocolate, brown sugar in aroma and cup. Richly sweet with wine-toned acidity; viscous, full mouthfeel. The spice-toned finish is supported by notes of dark chocolate and red currant.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Haraaz growing region, Yemen",Medium-Light,2.19,April 2021
Bird Rock Coffee Roasters,Suyusama Colombia,"Chocolaty, sweetly nut-toned. Baking chocolate, hazelnut butter, Bing cherry, cedar, maple syrup in aroma and cup. Sweet in structure with brisk acidity; lightly syrupy mouthfeel. The resonant finish leads with notes of baking chocolate and hazelnut (think Nutella) with undertones of cherry.",http://bit.ly/2CcjgEd,"Nariño region, Antioquia Department, Colombia",Medium-Light,1.58,April 2021
San Francisco Bay Coffee,Private Reserve Colombia Antioquia,"Cocoa-toned, balanced. Cocoa powder, date, magnolia, orange zest, hazelnut in aroma and cup. Sweet in structure with gentle, round acidity; satiny-smooth mouthfeel. The gently drying finish centers around notes of cocoa powder and orange zest with undertones of magnolia.",https://sfbaycoffee.com/,"Antioquia Department, Colombia",Medium-Light,1.18,April 2021
JBC Coffee Roasters,Las Brisas Colombia,"Crisp, vibrant, high-toned. Red grape, milk chocolate, freesia-like flower, hazelnut, a hint of rosemary in aroma and cup. Sweetly tart with juicy-bright acidity; satiny-smooth mouthfeel. Sweetly herbaceous, gently floral finish.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Paez region, Cauca Department, Colombia",Medium-Light,1.35,April 2021
San Francisco Bay Coffee,Private Reserve Rwanda Huye,"Sweetly nut- and cocoa-toned. Baking chocolate, almond, raisin, lily, fresh-cut fir in aroma and cup. Sweet-toned structure with brisk acidity; velvety mouthfeel. Wood-framed finish with notes of fir and baking chocolate.",https://sfbaycoffee.com/,"Huye District, southern Rwanda",Medium-Light,1.18,April 2021
San Francisco Bay Coffee,Private Reserve Panama La Huaca,"Gently fruit-toned, wood-framed. Prune, balsa wood, cashew, lemon zest, a hint of gardenia in aroma and cup. Sweet-savory structure with gently bittersweet acidity; velvety mouthfeel. Notes of balsa wood and cashew drive the finish.",https://sfbaycoffee.com/,"Renacimiento District, Chiriquí Province, Panama",Medium,1.18,April 2021
RamsHead Coffee Roasters,Costa Rica Gesha Tobosi Natural,"Richly fruit- and floral-toned. Raspberry, honeysuckle, praline, marjoram, oak in aroma and cup. Sweet-tart structure with crisp, citrusy acidity; viscous, syrupy mouthfeel. The rich-toned finish consolidates to notes of praline and fresh-cut oak.",https://bit.ly/2P8dTQf,"El Guarco, Cartago Province, Costa Rica",Medium-Light,2.5,April 2021
Coffee By Design,Kenya Kiambu Kiriga AA,"Vibrant, sweet-savory, floral-toned. Cocoa nib, red currant, myrrh, honeysuckle, hop flowers in aroma and cup. Sweetly savory structure with juicy acidity; crisp, lightly syrupy mouthfeel. The resonant finish centers on red currant and hop flowers in the short, cocoa nib and myrrh in the long.",,"Kiambu growing region, south-central Kenya",Medium-Light,1.16,April 2021
Temple Coffee Roasters,Ethiopia Harsu Haro Single-Origin Espresso,"Evaluated as espresso. Bright, juicy, cleanly fruit-forward. Dark chocolate, pomegranate, tangerine zest, brown sugar, oak in aroma and small cup. Satiny-smooth mouthfeel; the crisply sweet finish leads with pomegranate and brown sugar notes, followed by fresh-cut oak. Pomegranate and dark chocolate saturate the rich milk shot.",https://www.templecoffee.com,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,1.92,April 2021
Coffee By Design,Ethiopia Yirgacheffe Heyilu Butiya,"Richly sweet, deeply berry-toned. Dried blueberry, rhododendron, lime zest, dark chocolate, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; very syrupy mouthfeel. The finish consolidates to notes of dried blueberry and dark chocolate with cedar undertones.",,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,1.16,April 2021
RamsHead Coffee Roasters,Sumatra Kerinci Highlands Honey,"Delicately sweet-savory. Lychee, hyacinth, Chinese five-spice, almond, cedar in aroma and cup. Sweet-savory structure with brisk acidity; velvety mouthfeel. Spice-toned finish with notes of Chinese five-spice supported by almond and cedar.",https://bit.ly/2P8dTQf,"Kerinci Highlands, Jambi Province, Sumatra, Indonesia",Medium-Light,1.5,April 2021
Indaba Coffee Roasters,Rwanda Sholi,"Spice-toned, richly floral. Lavender, cashew butter, apricot, fir, cane sugar in aroma and cup. Crisply sweet structure with brisk acidity; satiny mouthfeel. Wood-framed finish with undertones of lavender and cashew.",,"Muhanga District, Southern Province, Rwanda",Medium-Light,1.33,April 2021
Indaba Coffee Roasters,Guatemala Villatoro Anaerobic,"Sweet-savory, deeply aromatic. Dried raspberry, young goat cheese, vanilla, dark chocolate, barley in aroma and cup. Savory-leaning structure with sweet-tart lactic acidity; syrupy-smooth mouthfeel. Fruit-toned, chocolaty finish with a lactic tang.",,"Huehuetenango growing region, Guatemala",Medium-Light,2.5,April 2021
Indaba Coffee Roasters,Guatemala Monja Blanca,"Crisply sweet-tart, nut-toned. Green apple, almond brittle, magnolia, thyme, cedar in aroma and cup. Sweet-tart structure with brisk acidity; delicate, satiny mouthfeel. Quiet, sweetly nut-toned finish.",,"Atitlán growing region, Guatemala",Medium-Light,1.33,April 2021
Indaba Coffee Roasters,Ethiopia Wuri Washed,"Gently crisp, sweet-toned. Honeydew melon, baking chocolate, hazelnut, fir, lemon verbena in aroma and cup. Sweet in structure with pert acidity; lightly satiny mouthfeel. Nut-toned finish with undertones of aromatic wood.",,"Gedeb District, Gedeo Zone, Ethiopia",Light,1.33,April 2021
Indaba Coffee Roasters,Sumatra Ketiara,"Citrusy, richly earth-toned. Orange zest, fresh-cut oak, green grape, hibiscus flower, Brazil nut in aroma and cup. Savory-sweet structure with low-toned acidity; smooth, velvety mouthfeel. Richly earth-toned finish with notes of oak, Brazil nut and orange zest.",,"Bebesen District, Aceh Tengah, Sumatra, Indonesia",Medium-Light,1.33,April 2021
Indaba Coffee Roasters,Ethiopia Amhara Natural,"Deeply sweet, fruit-toned. Golden raisin, lime zest, freesia-like flowers, oak, honey in aroma and cup. Sweet-toned structure with gentle, round acidity; lightly syrupy mouthfeel. Finish leads with notes of raisin and freesia supported by oak and lime zest.",,"Amhara Region, Ethiopia",Medium-Light,1.33,April 2021
Golden Ratio,Original Gold Coffee Pouches,"Evaluated at a steeping time of 6 minutes. This beverage is composed of coffee that has essentially been toasted but not roasted. Toasted grain, cocoa nib, hints of raw cashew and limelike citrus in aroma and cup. Sweet, woody/grainy structure with a hint of bitterness but no acidy sensation whatsoever. The mouthfeel is thin and tea-like but silky in texture. Grain and nut fade in the finish, though a woody sweetness lasts.",,Ethiopia,NA,,April 2021
Hula Daddy Kona Coffee,Kona Mocca®,"Lyrically sweet, luxuriously chocolaty. Chocolate fudge, tamarind, sandalwood, narcissus, a hint of wine barrel in aroma and cup. Sweetly tart structure with vibrant, juicy acidity; plush, creamy mouthfeel. The finish resolves around chocolate fudge and tamarind with undertones of rich sandalwood.",http://bit.ly/2oBDGmP,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,10.94,April 2021
Willoughby's Coffee & Tea,Panama Elida Green-Tip Geisha La Torre ASD,"Richly aromatic, tropical. Lychee, pineapple, cocoa nib, lemon verbena, ginger blossom in aroma and cup. Sweetly tart with bright, juicy acidity; full, syrupy-smooth mouthfeel. Long, resonant, flavor-saturated finish.",https://www.willoughbyscoffee.com/,"Boquete growing region, western Panama",Light,7.5,April 2021
Big Island Coffee Roasters,Kona Peaberry,"Balanced, deep-toned, floral. Honeysuckle, apricot, almond butter, dark chocolate, a hint of thyme in aroma and cup. Sweet structure with comfortable, straightforward acidity; plush, viscous mouthfeel. Floral-driven finish with undertones of dark chocolate and almond.",https://bit.ly/2Bfk9hI,"Kona growing region, Big Island of Hawai’i",Medium-Light,3.5,April 2021
Bird Rock Coffee Roasters,Panama Finca Los Lajones Natural,"Richly sweet-tart, cleanly fruit-toned. Pineapple guava, rhododendron, cocoa nib, cane sugar, a hint of spearmint in aroma and cup. Brightly sweet with citrusy acidity; full, satiny-smooth mouthfeel. The crisp, lingering finish centers around notes of rhododendron and spearmint.",http://bit.ly/2CcjgEd,"Boquete growing region, Panama",Light,2.42,April 2021
Hala Tree Kona Coffee,SL28,"Crisply sweet-tart, balanced, bright. Nectarine, narcissus, Meyer lemon zest, nougat, cedar in aroma and cup. Sweetly tart structure with lively, almost effervescent acidity; satiny-smooth, fluffy mouthfeel. The lingering finish leads with notes of nectarine and narcissus, rounding to nougat in the long.",,"North Kona growing district, “Big Island” of Hawai’i",Medium-Light,4.12,April 2021
Kona Farm Direct,Bourbon Pointu Natural,"Delicately sweet, deeply fruit-toned. Goji berry, alyssum, almond brittle, marjoram, sandalwood in aroma and cup. Sweet structure with high-toned acidity; very full, viscous mouthfeel. Finish consolidates to notes of goji berry and almond brittle.",,"Kona growing region, Big Island of Hawai’i",Medium-Light,7.14,April 2021
Amavida Coffee Roasters,Honey Honduras Comsa,"Gently fruit-forward. Dried apricot, almond brittle, vanilla, freesia-like flowers, fresh-cut fir in aroma and cup. Sweet-toned with brisk acidity; viscous, satiny mouthfeel. The finish consolidates to vanilla, almond brittle and fresh-cut fir.",https://bit.ly/2PGHVY6,"Marcala, La Paz Department, Honduras",Medium-Light,1.5,April 2021
Modern Times Coffee,Honduras Los Amigos," Sweetly tart, juicy-rich. Pie cherry, dark chocolate, orange zest, maple syrup, hazelnut in aroma and cup. Tart-leaning structure with bold acidity; velvety mouthfeel. The finish consolidates around dark chocolate and orange zest with undertones of hazelnut.",,"El Soccoro, Honduras",Medium-Light,1.33,April 2021
Origin Coffee Roasters,Miranda’s Farms Hawai’i Caturra," Deeply sweet-savory, berry-toned. Mulberry, brown sugar, Meyer lemon zest, dark chocolate, hop flowers in aroma and cup. Sweet-savory structure with gentle, round acidity; very full, syrupy mouthfeel. Richly bittersweet finish with notes of brown sugar, dark chocolate, and hop flowers.",,"Ka'u District, Big Island of Hawai’i",Medium-Light,3.92,April 2021
Islamorada Coffee Roasters,Uganda Utz Sipi Falls,"Deeply rich and sweet. Molasses, dark chocolate, almond, lily, date in aroma and cup. Sweet-toned structure with gentle, round acidity; velvety mouthfeel. Crisp, quiet finish centers around notes of dark chocolate and almond.",,"Sipi Falls, Bugisu Region, Uganda",Medium-Light,1.67,April 2021
Dragonfly Coffee Roasters,Colombia Nariño,"Crisply sweet, chocolaty. Baking chocolate, raisin, cedar, almond, lily in aroma and cup. Sweet-toned structure with brisk acidity; velvety mouthfeel. Gently drying finish consolidates to notes of chocolate-toned raisin and cedar.",https://dragonflycoffeeroasters.com/,"Nariño Department, southern Colombia",Medium-Light,1.04,April 2021
Propeller Coffee,Turbo Espresso,"Evaluated as espresso. Richly chocolaty, sweetly nut-toned. Dark chocolate, hazelnut butter, magnolia, gently scorched cedar, date in aroma and small cup. Full, creamy-smooth mouthfeel; crisply sweet, chocolate- and nut-toned finish. In cappuccino-scaled milk, chocolate notes brighten, supported by notes of gently scorched cedar and magnolia.",,Brazil; Colombia,Medium,1.5,April 2021
Propeller Coffee,Papua New Guinea Baroida Natural,"Bright, juicy, richly fruit-centered. Pineapple guava, cocoa nib, marjoram, hazelnut, cedar in aroma and cup. Sweet-tart structure with brisk acidity; plush, syrupy mouthfeel. Fruit-forward finish with undertones of marjoram and cedar.",,"ainantu District, Eastern Highlands Province, Papua New Guinea",Medium-Light,1.75,April 2021
Propeller Coffee,Foundry Blend,"Crisply sweet, chocolaty. Baking chocolate, hazelnut, vanilla bean, persimmon, fresh-cut cedar in aroma and cup. Sweet-toned structure with brisk acidity; smooth, velvety mouthfeel. The finish consolidates around suggestions of cedar-toned chocolate.",,Colombia; Burundi,Medium-Light,1.5,April 2021
Propeller Coffee,Papua New Guinea Baroida Washed,"Crisply sweet, fruit-toned. Plum, apple blossom, oak, caramel, lemon verbena in aroma and cup. Sweet-tart structure with gentle, round acidity; satiny mouthfeel. The finish rounds to notes of caramel-toned plum with a hint of lemon verbena.",,"ainantu District, Eastern Highlands Province, Papua New Guinea",Medium-Light,1.75,April 2021
Propeller Coffee,Papua New Guinea Baroida Honey,"Cleanly fruit-forward. Lychee, ripe pear, freesia-like flowers, maple syrup, fresh-cut fir in aroma and cup. Sweet-toned structure with brisk acidity; very full, syrupy-smooth mouthfeel. The finish is fruit-toned with complications of fresh-cut fir and freesia.",,"Kainantu District, Eastern Highlands Province, Papua New Guinea",Medium-Light,1.75,April 2021
Paradise Roasters,Yemen Al Mashtal Al Burhani,"Concentrated, rich-toned, deep. Dried plum, sandalwood, baking chocolate, star jasmine, lemon thyme in aroma and cup. Deeply sweet structure with bright acidity; very full, satiny-smooth mouthfeel. Finish consolidates to notes of dried plum and sandalwood with hints of baking chocolate.",https://paradiseroasters.com/,"Haraaz growing region, Yemen",Medium-Light,6.24,April 2021
JBC Coffee Roasters,Reina de la Asuncion Ecuador,"Bright, crisply sweet. Honeydew melon, hazelnut, cocoa nib, narcissus, cedar in aroma and cup. Sweet-toned structure with lively, high-toned acidity; full, velvety mouthfeel. Nut- and cocoa-toned finish with hints of narcissus-like flowers. ",https://www.jbccoffeeroasters.com/product-category/coffee/,"Congonama, Loja region, Ecuador",Medium-Light,1.65,April 2021
Paradise Roasters,Colombia Finca El Vergal Geisha/Java Natural,"Fruit-forward, delicately spice-toned. Pink grapefruit zest, apricot, freesia-like flowers, fresh-cut oak, almond butter in aroma and cup. Sweet-tart structure with brisk acidity; plush, syrupy mouthfeel. The resonant finish consolidates to notes of pink grapefruit zest and almond butter.",https://paradiseroasters.com/,"Algeciras, Huila, Colombia",Light,3.32,April 2021
Roadmap CoffeeWorks,Nayamasasa Democratic Republic of the Congo,"Balanced, richly sweet. Apricot, agave syrup, baking chocolate, cashew butter, tangerine zest in aroma and cup. Sweet structure with pert acidity; plush, syrupy-smooth mouthfeel. The long, gentle finish centers around notes of chocolate and cashew butter with hints of tangerine zest.",https://roadmapcoffeeworks.com/,"South Kivu Province, Democratic Republic of the Congo",Medium-Light,1.58,April 2021
Paradise Roasters,Colombia Chiroso Natural,"Crisply sweet-tart, high-toned. Meyer lemon zest, cocoa nib, hazelnut, dried hibiscus flower, marjoram in aroma and cup. Bright, tart-leaning structure with juicy acidity; delicate, silky mouthfeel. Citrusy finish supported by tart florals and cocoa nib.",https://paradiseroasters.com/,"Caicedo, Antioquia Department, Colombia",Light,6.24,April 2021
Red Rooster Coffee Roaster,Flight Seasonal Espresso,"Evaluated as espresso. Richly spice-toned, deeply floral. Honeysuckle, black cherry, baking spices, dark chocolate, amber in aroma and small cup. Plush, syrupy-smooth mouthfeel; finely balanced, flavor-saturated finish. The milk shot amplifies floral tones suggesting honeysuckle with undertones of black cherry and warming spices. ",https://bit.ly/2XuD3GS,Ethiopia; Dominican Republic,Medium-Light,1.58,April 2021
Peach Coffee Roasters,Guji Ethiopia Washed,"Subtly complex, deeply sweet. Star jasmine, cocoa nib, mango, frankincense, spearmint in aroma and cup. Bright, juicy acidity; viscous, syrupy mouthfeel. The balanced finish leads with notes of star jasmine and mango, followed by cocoa suggestions.",,"Guji Zone, Oromia Region, southern Ethiopia",Light,1.5,March 2021
Merge Coffee Company,Colombia Monteblanco Geisha,"Delicate, high-toned, complex. Guava, cocoa nib, narcissus, sandalwood, hazelnut butter in aroma and cup. Sweet-tart structure with bright, juicy acidity; very smooth, syrupy mouthfeel. Resonant finish consolidates to attractive notes of guava and cocoa nib.",https://www.mergecoffeeco.com/shop,"Huila Department, Colombia",Light,2.5,March 2021
True Coffee Roasters,Belquis Ramirez Lemus Colombia Coffee for Peace,"Balanced, bright. Cocoa nib, orange zest, almond brittle, plum, cedar in aroma and cup. Sweet-toned with juicy, high-toned acidity; crisp, velvety mouthfeel. Quiet finish that leads with notes of cocoa nib and orange zest, rounding to cedar in the long.",,"Cauca Department, Colombia",Medium-Light,1.12,March 2021
True Coffee Roasters,Asprole Blend #1 Colombia Coffee for Peace,"Crisply sweet, chocolaty. Baking chocolate, apricot, lemon verbena, fresh-cut fir, nougat in aroma and cup. Sweet in structure with brisk acidity; crisp, satiny-smooth mouthfeel. The finish centers around notes of baking chocolate, fir, and lemon verbena.",,"Cauca Department, Colombia",Medium-Light,1.12,March 2021
JBC Coffee Roasters,Twisted V.6 Espresso,"Evaluated as espresso. Chocolate fudge, pomegranate, cedar, honeysuckle, lime zest in aroma and small cup. Plush, syrupy mouthfeel; deep, chocolaty finish. In three parts milk, both chocolate and floral notes are amplified, complicated by pomegranate and cedar.",https://www.jbccoffeeroasters.com/product-category/coffee/,South America; Central America; Africa,Medium-Light,1.31,March 2021
Temple Coffee Roasters,Rwanda Sholi,"Bright, sweetly tart, cocoa-toned. Cocoa nib, Meyer lemon zest, nougat, red apple, almond in aroma and cup. Sweet-tart structure with crisp, high-toned acidity; silky-smooth mouthfeel. The finish consolidates to notes of cocoa-toned nougat and almond.",https://www.templecoffee.com,"Muhanga District, Southern Province, Rwanda",Medium-Light,1.58,March 2021
JBC Coffee Roasters,Addis Katema,"Crisply sweet-tart, high-toned. Lemon verbena, plum, narcissus, cocoa nib, maple syrup in aroma and cup. Sweet-tart structure with bright, juicy acidity; delicate, silky mouthfeel. The resonant finish centers around notes of plum and cocoa nib with undertones of narcissus-like flowers.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Wenango District, Gedeo Zone, Ethiopia",Light,1.56,March 2021
Mystic Monk Coffee,Easter Sunrise Blend,"Rich, chocolaty, floral-toned. Baking chocolate, lily, fresh-cut fir, golden raisin, orange zest in aroma and cup. Richly sweet structure with gentle, mild acidity; very full, syrupy mouthfeel. Crisp, chocolaty finish with undertones of orange zest and fresh-cut fir. ",http://www.mysticmonkcoffee.com,Not disclosed,Medium,1.25,March 2021
Temple Coffee Roasters,Peru Jheyner Roman,"Crisply sweet, deep-toned. Pecan pralines, date, magnolia, cedar, baking chocolate in aroma and cup. Sweet structure with brisk acidity; satiny mouthfeel. Notes of baking chocolate lead the quiet finish, supported by pecan and cedar.",https://www.templecoffee.com,"Cajamarca region, northern Peru",Medium-Light,1.58,March 2021
Temple Coffee Roasters,Colombia La Victoria,"Rich-toned, deeply aromatic. Dark chocolate, hop flowers, brown sugar, orange zest, hazelnut in aroma and cup. Bittersweet structure with gentle, round acidity; velvety mouthfeel. Chocolaty finish with undertones of orange zest and hazelnut. ",https://www.templecoffee.com,"Nariño Department, Colombia",Medium-Light,1.58,March 2021
Paradise Roasters,Aged Sumatra Ulos Batak 2015,"A splendid, uncompromising example of its style, though not for everyone. Fresh humus, perique pipe tobacco, freshly dried prune, musk, raw chocolate in aroma and cup. Sweet-savory structure with low-toned, round acidity; plush, syrupy mouthfeel. The sweetly earth-toned finish is long and resonant, with notes of forest floor, pipe tobacco and musk.",https://paradiseroasters.com/,"Lintong growing region, Sumatra, Indonesia",Medium,1.58,March 2021
Paradise Roasters,Kona Uluwehi SL34,"Bright and tropical; deeply sweet. Lychee, amber, ginger blossom, almond butter, a hint of coconut in aroma and cup. Sweet-tart structure with crisp, citrusy acidity; full, syrupy mouthfeel. The finish consolidates to notes of ginger blossom and coconut.",https://paradiseroasters.com/,"Holualoa, Kona, Big Island of Hawai’i",Medium-Light,7.49,March 2021
Paradise Roasters,Colombia Pink Bourbon Finca El Chaparote,"Elegantly floral, delicately fruit-toned. Honeysuckle, pink grapefruit zest, agave syrup, cocoa nib, lemon balm in aroma and cup. Richly sweet structure with bright, balanced acidity; lyrically silky mouthfeel. Pretty floral-leaning finish centers on notes of honeysuckle and lemon balm with undertones of cocoa nib.",https://paradiseroasters.com/,"Huila Department, Colombia",Light,2.49,March 2021
Paradise Roasters,Brazil Daterra Aramosa Anaerobic Honey,"Very fruit-forward; deeply and richly sweet. Mulberry, date, hop flowers, narcissus, fresh-cut oak in aroma and cup. Sweet-toned with crisp, winy acidity; very full, satiny mouthfeel. The bittersweet finish leads with notes of mulberry and hop flowers, supported by fresh-cut oak.",https://paradiseroasters.com/,"Cerrado growing region, Brazil",Light,9.99,March 2021
Paradise Roasters,Kona Classic Dark,"Deeply sweet, chocolaty. Chocolate fudge, magnolia, almond brittle, gently scorched sandalwood, marshmallow in aroma and cup. Bittersweet structure with gentle, round acidity; full, creamy mouthfeel. Chocolaty finish with almond and sandalwood undertones. ",https://paradiseroasters.com/,"Kona, Big Island of Hawai’i",Medium,4.99,March 2021
Paradise Roasters,Thailand Huai Mae Liam White Honey,"Gently fruit-toned, wood-framed. Guava, fresh-cut fir, narcissus, cocoa nib, lemon thyme in aroma and cup. Sweet-tart structure with brisk acidity; delicate, velvety mouthfeel. Cocoa nib and fir carry the crisp, quiet finish.",https://paradiseroasters.com/,"Huai Mae Liam, Chiang Rai, Thailand",Light,2.08,March 2021
Lina Premium Coffee,Espresso,"Evaluated as espresso. Deep-toned, chocolaty and rich. Dark chocolate, hazelnut, gently scorched cedar, raisin, gardenia-like flowers in aroma and small cup. Full, creamy mouthfeel; chocolaty, wood-framed finish. Milk amplifies both dark chocolate and hazelnut notes in a richly sweet presentation.",,"Quindío Department, Colombia",Medium-Dark,1.31,March 2021
Lina Premium Coffee,Estate Finca La Lina,"Sweetly nut-toned. Roasted almond, date, baking chocolate, lily, fir in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. Pleasing nut tones supported by notes of aromatic wood animate the gently drying finish.",,"Risaralda Department, Colombia",Medium-Light,1.31,March 2021
Bird Rock Coffee Roasters,Ethiopia Neja Fadil,"Richly sweet-tart, fruit-forward. Dried raspberry, dark chocolate, almond brittle, thyme, lemon verbena in aroma and cup. Brightly sweet with juicy acidity; satiny-smooth mouthfeel. Resonant, flavor-laden finish.",http://bit.ly/2CcjgEd,"Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,1.67,March 2021
Bird Rock Coffee Roasters,Congo Muungano,"Crisply sweet, balanced. Plum, orange zest, almond butter, freesia-like flowers, cedar in aroma and cup. Sweet structure with brisk acidity; very smooth, syrupy mouthfeel. The finish consolidates to notes of rich almond butter and orange zest, with cedar undertones.",http://bit.ly/2CcjgEd,"South Kivu Province, Democratic Republic of the Congo",Light,1.75,March 2021
SkyTop Coffee,Peru Buena Vista Valerio Almanza Ccahua,"Delicate, high-toned, crisply sweet-tart. Guava, pink peppercorn, cocoa nib, tangerine zest, fresh-cut oak in aroma and cup. Sweet-toned with tart-leaning, juicy acidity; delicately silky mouthfeel. The long, flavor-saturated finish centers on guava and pink peppercorn.",http://bit.ly/37apemI,"Cusco, Peru",Medium-Light,3.38,March 2021
San Francisco Bay Coffee,Private Reserve Ethiopia Barrel-Aged,"Gently fruit-toned. Raspberry jam, wine barrel, dark chocolate, hazelnut, gardenia in aroma and cup. Sweet-toned with brisk acidity; velvety-smooth mouthfeel. The finish evokes hard berry cider with chocolate and gardenia undertones.",https://sfbaycoffee.com/,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,1.3,March 2021
San Francisco Bay Coffee,Private Reserve Costa Rica Naranjo,"Crisply sweet, cocoa-toned. Cocoa powder, orange zest, fresh date, cedar, lily in aroma and cup. Sweet structure with pert acidity; crisp, silky mouthfeel. Finish consolidates to notes of cocoa powder and lily with cedar undertones. ",https://sfbaycoffee.com/,"Naranjo, West Valley, Costa Rica",Medium,1.18,March 2021
San Francisco Bay Coffee,Private Reserve Guatemala Medina Estate,"Delicate, sweetly nut-toned. Candied walnut, persimmon, grapefruit zest, oak, magnolia in aroma and cup. Richly sweet structure with gentle, round acidity; lightly syrupy mouthfeel. The gently drying finish is redolent of candied walnut.",https://sfbaycoffee.com/,"Antigua, Guatemala",Medium,1.18,March 2021
Old World Coffee Lab,Panama Finca Santa Teresa Lot 9,"Delicate, richly aromatic. Bergamot, plum, almond, honeysuckle, cedar in aroma and cup. Sweet-toned with bright, juicy acidity; plush, syrupy mouthfeel. The resonant finish centers around notes of bergamot, honeysuckle and cedar. ",https://oldworldcoffee.co/,"Volcan growing region, western Panama",Medium-Light,1.67,March 2021
RamsHead Coffee Roasters,Honduro-Spro,"Evaluated as espresso. Richly chocolaty, fruit-toned. Dark chocolate, raspberry jam, cedar, caramel, lemon verbena in aroma and small cup. Crisp, syrupy-smooth mouthfeel; chocolaty, sweetly herbaceous finish. In three parts milk, raspberry notes recede and caramel and chocolate come forward.",https://bit.ly/2P8dTQf,"San José, La Paz Department, Honduras",Medium-Light,1.33,March 2021
Old World Coffee Lab,Ethiopia Halo Hartume Daniel Mijane,"Delicately vibrant, crisply sweet-tart. Peach, cocoa nib, lilac, pink grapefruit zest, pistachio in aroma and cup. Balanced, sweetly tart in structure; richly silky mouthfeel. The satisfying finish consolidates to notes of cocoa-toned stone fruit.",https://oldworldcoffee.co/,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,1.58,March 2021
RamsHead Coffee Roasters,Costa Rica La Pastora Honey,"Crisply sweet-tart. Green apple, magnolia, oak, maple syrup, almond in aroma and cup. Sweet-tart structure with brisk acidity; delicate, silky mouthfeel. Almond and apple notes lead in the quiet finish.",https://bit.ly/2P8dTQf,"Tarrazu, Costa Rica",Medium-Light,1.41,March 2021
Street Bean,Ethiopia Suke Quto,"Crisply sweet, citrusy-bright. Tangerine zest, apricot, almond, cocoa nib, freesia-like flowers in aroma and cup. Sweet-leaning structure with high-toned acidity; smooth, satiny mouthfeel. Notes of tangerine zest and almond characterize the crisp, long finish.",,"Guji Zone, Oromia Region, south-central Ethiopia",Light,1.76,March 2021
Wildgoose Coffee Roasters,Kenya Kirinyaga Peaberry,"Vibrant, sweetly savory, floral-toned. Cocoa nib, black currant, amber, honeysuckle, hop flowers in aroma and cup. Sweetly savory structure with juicy acidity; crisp, lightly syrupy mouthfeel. The resonant finish centers around black currant and hop flowers in the short, cocoa nib and amber in the long.",,"Kirinyaga County, south-central Kenya",Light,1.75,March 2021
Wonderstate Coffee,Project Congo Muungano,"Crisply sweet, deeply rich. Date, baking chocolate, magnolia, maple syrup, hazelnut butter in aroma and cup. Sweet in structure with brisk acidity; full, syrupy mouthfeel. Chocolaty, sweetly nut-toned finish. ",,"South Kivu, Democratic Republic of the Congo",Light,1.58,March 2021
Thanksgiving Coffee Company,Humanitarian Grounds,"Sweetly savory, floral-toned. Lily, hazelnut, cocoa powder, black cherry, oak in aroma and cup. Sweet structure with pert acidity; full but lively mouthfeel. Floral tones fade in the finish, while cocoa powder and fresh-cut oak come forward. ",http://bit.ly/3iWt4Lz,Nicaragua; Guatemala; Ethiopia,Medium,1.25,March 2021
